timestamp,total_wallet,total_margin_balance,available_balance,total_unrealized,maint_buffer,margin_ratio_pct,positions_count,open_orders_count,realized_7d
2026-04-25 08:30:14.260441+09:00,166820.9715056,148798.36926558,143285.63367891,-18022.60224002,148136.51902396,0.444796703678055,150,8,9.49957657
2026-04-25 08:30:40.268862+09:00,166823.37751773,148790.63590795,143263.34137858,-18032.74160978,148129.0378615,0.4446503252121999,150,8,9.49957657
2026-04-25 08:31:10.225568+09:00,166821.99151795,148750.69654877,143243.22871533,-18071.29496918,148089.65401632,0.444396260177019,150,8,9.49957657
2026-04-25 08:31:40.283488+09:00,166818.9060602,148746.95539224,143228.9953039,-18071.95066796,148086.015719,0.4443382867885447,150,8,9.49957657
2026-04-25 08:32:11.697768+09:00,166848.69485158,148791.04843348,143281.54625604,-18057.6464181,148130.16456165,0.444169107475213,150,8,9.49957657
2026-04-25 08:32:40.613078+09:00,166841.5440029,148800.91501149,143292.67117988,-18040.62899141,148139.70884091,0.4443562531379215,150,8,9.49957657
2026-04-25 08:33:10.831337+09:00,166839.51290407,148804.7276832,143296.57565507,-18034.78522087,148143.38977687,0.4444333971283258,150,8,9.49957657
2026-04-25 08:33:41.122080+09:00,166837.29655727,148818.88574954,143309.75854433,-18018.41080773,148157.40186643,0.4444892056397113,150,8,9.49957657
2026-04-25 08:34:11.962979+09:00,166855.55657192,148856.78725142,143333.82662887,-17998.7693205,148195.12897788,0.4444931841921694,150,8,9.49957657
2026-04-25 08:34:41.265430+09:00,166852.85798324,148840.73724138,143330.09831783,-18012.12074186,148179.23695874002,0.4444349678053683,150,8,9.49957657
2026-04-25 08:35:10.325282+09:00,166877.95187556,148892.51096124,143380.30035255,-17985.44091432,148230.8433234,0.4443928264546808,150,8,9.49957657
2026-04-25 08:35:41.128705+09:00,166840.06804273,148825.39649123,143312.47264778,-18014.6715515,148163.87385712,0.4444957982349352,150,8,9.49957657
2026-04-25 08:36:10.452357+09:00,166843.9375332,148828.47945528,143316.58400204,-18015.45807792,148167.02104485,0.4444434377418705,150,8,9.49957657
2026-04-25 08:36:40.546593+09:00,166866.1875431,148867.20348615,143356.06211162,-17998.98405695,148205.57908146002,0.4444393319657911,150,8,9.49957657
2026-04-25 08:37:11.383588+09:00,166871.25166675,148882.5902979,143371.25992588,-17988.66136885,148220.84868065,0.444472127953925,150,8,9.49957657
2026-04-25 08:37:41.372906+09:00,166856.72061279,148858.39671314,143340.15958639,-17998.32389965,148196.63506276,0.4445578247461972,150,8,9.49957657
2026-04-25 08:38:03.356560+09:00,166851.82990613,148854.34223224,143343.96191984,-17997.48767389,148192.44674247,0.4446598465614944,150,8,1.37272727
2026-04-25 08:38:33.542769+09:00,166868.09797693,148893.19314586,143382.02703418,-17974.90483107,148231.16385393,0.444633685356897,150,8,9.49957657
2026-04-25 08:39:03.925024+09:00,166877.40054447,148898.91910723,143386.39677504,-17978.48143724,148237.04729934,0.4445108210714082,150,8,9.49957657
2026-04-25 08:39:33.878835+09:00,166874.15477069,148892.17460739,143369.52070429,-17981.9801633,148230.38452097002,0.4444760701259534,150,8,9.49957657
2026-04-25 08:40:03.224827+09:00,166904.92075278,148934.66087701,143419.01539017,-17970.25987577,148272.78585229,0.444406305975058,150,8,9.49957657
2026-04-25 08:40:33.646946+09:00,166851.37226915,148838.9087185,143323.15595635,-18012.46355065,148177.39634891,0.4444485486258991,150,8,9.49957657
2026-04-25 08:41:23.433710+09:00,166850.72084568,148843.96103985,143331.08472727,-18006.75980583,148182.37766929998,0.4444811639841232,150,8,9.49957657
2026-04-25 08:41:52.697855+09:00,166843.4119626,148825.7869593,143309.55585556,-18017.6250033,148164.23176683,0.4445165088567065,150,8,9.49957657
2026-04-25 08:42:22.816008+09:00,166838.68838441,148810.82560404,143302.11430603,-18027.86278037,148149.41415215,0.4444646074674043,150,8,9.49957657
2026-04-25 08:42:53.049487+09:00,166839.97714654,148806.22933801,143297.50205705,-18033.74780853,148144.89556653998,0.4444261335107116,150,8,9.49957657
2026-04-25 08:43:22.544784+09:00,166867.24289493,148862.07642646,143349.66352904,-18005.16646847,148200.50017793,0.4444222896869426,150,8,9.49957657
2026-04-25 08:43:54.029764+09:00,166857.25607534,148837.89537061,143327.55539373,-18019.36070473,148176.41131439,0.4444325516515054,150,8,9.49957657
2026-04-25 08:44:39.764951+09:00,166850.37499909,148835.15675443,143326.08522641,-18015.21824466,148173.57670487,0.4445052257724103,150,8,9.49957657
2026-04-25 08:45:09.458571+09:00,166851.8526512,148831.65962921,143322.48172998,-18020.19302199,148170.27313075,0.4443856234001135,150,8,9.49957657
2026-04-25 08:45:40.114085+09:00,166817.53287277,148771.30060936,143261.42799427,-18046.23226341,148109.99879520002,0.4445089956539601,150,8,9.49957657
2026-04-25 08:46:10.804364+09:00,166814.38022054,148758.7586741,143250.13829117,-18055.62154644,148097.62424757,0.4444339495857251,150,8,9.49957657
2026-04-25 08:46:39.218161+09:00,166810.64982017,148746.45736826,143240.03647707,-18064.19245191,148085.52818643997,0.4443327212719429,150,8,9.49957657
2026-04-25 08:47:09.906011+09:00,166827.16558521,148789.4826074,143272.36137921,-18037.68297781,148128.27762821,0.4443895950190737,150,8,9.49957657
2026-04-25 08:47:40.219387+09:00,166828.61795675,148801.1951239,143291.99017123,-18027.42283285,148140.0487956,0.4443152003916994,150,8,9.49957657
2026-04-25 08:48:10.158959+09:00,166827.82791403,148811.024824,143296.68925797,-18016.80309003,148149.69795929,0.4444071704311939,150,8,9.49957657
2026-04-25 08:48:41.297911+09:00,166816.90812599,148790.26820173,143281.34153176,-18026.63992426,148128.89702397,0.4444989485893743,150,8,9.49957657
2026-04-25 08:49:10.692896+09:00,166800.89843054,148772.76534797,143261.94403318,-18028.13308257,148111.30259632002,0.4446127959663052,150,8,9.49957657
2026-04-25 08:49:39.601327+09:00,166804.78176057,148787.58263706,143277.68013216,-18017.19912351,148125.98321194,0.4446603764870959,150,8,9.49957657
2026-04-25 08:50:10.378836+09:00,166808.2923724,148805.22961594,143294.33893671,-18003.06275646,148143.58866335,0.4446355509800745,150,8,9.49957657
2026-04-25 08:50:40.468475+09:00,166816.37004549,148806.63946892,143294.34313121,-18009.73057657,148144.97708491,0.4446457405203319,150,8,9.49957657
